title,url,published_at,video_id
(Mobile) ICE Carbon Diablo X 39% [Extreme Demon],https://youtu.be/X7YiF8FWDSg,2020-02-02T08:36:02Z,X7YiF8FWDSg
Mobile Challenge by lisik2k (Verified by me),https://youtu.be/IOenu0vClbs,2020-01-08T09:17:24Z,IOenu0vClbs
Shrill Hallway by Nico99 + 3 coins [Medium Demon],https://youtu.be/BP6vlhgw-4I,2020-01-06T07:36:54Z,BP6vlhgw-4I
Buried Angel by F3lixsram + 3 coins [Easy Demon],https://youtu.be/Bhd4JZpqOZQ,2020-01-04T11:13:57Z,Bhd4JZpqOZQ
Extinction by haoN + 3 coins [Easy Demon],https://youtu.be/IjjaA4qpYvg,2020-01-02T09:11:16Z,IjjaA4qpYvg
(HAPPY NEW YEAR!) SUMMER seasons by Z3lLink [Easy Demon],https://youtu.be/dWVPGjXG5mU,2020-01-01T07:44:24Z,dWVPGjXG5mU
(Mobile) Stereo Demoness by MaJackO [Hard Demon],https://youtu.be/hgJD6vglAv8,2019-12-08T00:39:06Z,hgJD6vglAv8
(Mobile) Stereo Demoness 95%,https://youtu.be/P-xk-MienUo,2019-12-06T11:09:00Z,P-xk-MienUo
(Mobile) Stereo Demoness 93%x3 [Hard Demon],https://youtu.be/OSge5q9HnFM,2019-12-06T10:57:47Z,OSge5q9HnFM
(Mobile) Stereo Demoness 93%x2...,https://youtu.be/1I7OUqZwfw8,2019-12-05T08:15:47Z,1I7OUqZwfw8
(Mobile) Stereo Demoness 93% [Hard Demon],https://youtu.be/gB82Lf9n_M8,2019-12-01T05:30:04Z,gB82Lf9n_M8
(Mobile) Stereo Demoness 92% [Hard Demon],https://youtu.be/ivuojxDSkJs,2019-11-24T05:54:39Z,ivuojxDSkJs
Laser Room by TrueNature [Easy Demon],https://youtu.be/EGhBU4xH5WM,2019-07-31T22:18:56Z,EGhBU4xH5WM
(Mobile) Windy Landscape by WOOGI1411 [Hard Demon],https://youtu.be/at7ER55FySg,2019-06-23T07:24:32Z,at7ER55FySg
(Mobile) Windy Landscape 95%...,https://youtu.be/ceTQ8uFLqOo,2019-06-21T14:03:05Z,ceTQ8uFLqOo
